Capítulo (Nro);Capítulo (Nombre);Grupo de Enfermedad;Código 1ª Jerarquía;Categoría 1ª Jerarquía;Código 2ª Jerarquía;Categoría 2ª Jerarquía;Observaciones
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A37;Tos ferina [tos convulsiva];A37.8;Tos ferina debida a otras especies de Bordetella;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A37;Tos ferina [tos convulsiva];A37.9;Tos ferina, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A39;Enfermedad meningocócica;A39.0;Meningitis meningocócica (G01*);"Daga (†): código de causa principal; debe usarse junto con un código asterisco (*)"
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A39;Enfermedad meningocócica;A39.1;Síndrome de Waterhouse-Friderichsen (E35.1*);"Daga (†): código de causa principal; debe usarse junto con un código asterisco (*)"
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A39;Enfermedad meningocócica;A39.2;Meningococemia aguda;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A39;Enfermedad meningocócica;A39.3;Meningococemia crónica;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A39;Enfermedad meningocócica;A39.4;Meningococemia, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A39;Enfermedad meningocócica;A39.5;Enfermedad cardíaca debida a meningococo;"Daga (†): código de causa principal; debe usarse junto con un código asterisco (*)"
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A39;Enfermedad meningocócica;A39.8;Otras formas de enfermedad meningocócica:;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A39;Enfermedad meningocócica;A39.9;Enfermedad meningocócica, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A40;Sepsis estreptocócica;A40.0;Sepsis debida a estreptococo, grupo A;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A40;Sepsis estreptocócica;A40.1;Sepsis debida a estreptococo, grupo B;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A40;Sepsis estreptocócica;A40.2;Sepsis debida a estreptococo, grupo D y enterococo;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A40;Sepsis estreptocócica;A40.3;Sepsis debida a Streptococcus pneumoniae;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A40;Sepsis estreptocócica;A40.8;Otras sepsis estreptocócicas;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A40;Sepsis estreptocócica;A40.9;Sepsis estreptocócica, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A41;Otras sepsis;A41.0;Sepsis debida a Staphylococcus aureus;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A41;Otras sepsis;A41.1;Sepsis debida a otro estafilococo especificado;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A41;Otras sepsis;A41.2;Sepsis debida a estafilococo no especificado;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A41;Otras sepsis;A41.3;Sepsis debida a Haemophilus influenzae;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A41;Otras sepsis;A41.4;Sepsis debida a anaerobios;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A41;Otras sepsis;A41.5;Sepsis debida a otros organismos gramnegativos;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A41;Otras sepsis;A41.8;Otras sepsis especificadas;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A41;Otras sepsis;A41.9;Sepsis, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A42;Actinomicosis;A42.0;Actinomicosis pulmonar;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A42;Actinomicosis;A42.1;Actinomicosis abdominal;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A42;Actinomicosis;A42.2;Actinomicosis cervicofacial;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A42;Actinomicosis;A42.7;Sepsis actinomicótica;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A42;Actinomicosis;A42.8;Otras formas de actinomicosis;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A42;Actinomicosis;A42.9;Actinomicosis, sin otra especificación;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A43;Nocardiosis;A43.0;Nocardiosis pulmonar;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A43;Nocardiosis;A43.1;Nocardiosis cutánea;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A43;Nocardiosis;A43.8;Otras formas de nocardiosis;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A43;Nocardiosis;A43.9;Nocardiosis, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A44;Bartonelosis;A44.0;Bartonelosis sistémica;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A44;Bartonelosis;A44.1;Bartonelosis cutánea y mucocutánea;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A44;Bartonelosis;A44.8;Otras formas de bartonelosis;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A44;Bartonelosis;A44.9;Bartonelosis, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A46;Erisipela;A48.0;Gangrena gaseosa;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A46;Erisipela;A48.1;Enfermedad de los legionarios;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A46;Erisipela;A48.2;Enfermedad de los legionarios no neumónica [fiebre de;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A46;Erisipela;A48.3;Síndrome de choque tóxico;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A46;Erisipela;A48.4;Fiebre purpúrica brasileña;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A46;Erisipela;A48.8;Otras enfermedades bacterianas especificadas;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A49;Infección bacteriana de sitio no especificado;A49.0;Infección estafilocócica, de sitio no especificado;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A49;Infección bacteriana de sitio no especificado;A49.1;Infección estreptocócica y enterocócica, de sitio no;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A49;Infección bacteriana de sitio no especificado;A49.2;Infección por Haemophilus influenzae, de sitio no;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A49;Infección bacteriana de sitio no especificado;A49.3;Infección por micoplasma, de sitio no especificado;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A49;Infección bacteriana de sitio no especificado;A49.8;Otras infecciones bacterianas, de sitio no especificado;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Otras enfermedades bacterianas;A49;Infección bacteriana de sitio no especificado;A49.9;Infección bacteriana, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A50;Sífilis congénita;A50.1;Sífilis congénita precoz, latente;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A50;Sífilis congénita;A50.2;Sífilis congénita precoz, sin otra especificación;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A50;Sífilis congénita;A50.3;Oculopatía sifilítica congénita tardía;"Daga (†): código de causa principal; debe usarse junto con un código asterisco (*)"
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A50;Sífilis congénita;A50.4;Neurosífilis congénita tardía [neurosífilis juvenil];
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A50;Sífilis congénita;A50.5;Otras formas de sífilis congénita tardía, sintomática;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A50;Sífilis congénita;A50.6;Sífilis congénita tardía, latente;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A50;Sífilis congénita;A50.7;Sífilis congénita tardía, sin otra especificación;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A50;Sífilis congénita;A50.9;Sífilis congénita, sin otra especificación;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A51;Sífilis precoz;A51.0;Sífilis genital primaria;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A51;Sífilis precoz;A51.1;Sífilis primaria anal;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A51;Sífilis precoz;A51.2;Sífilis primaria en otros sitios;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A51;Sífilis precoz;A51.3;Sífilis secundaria de piel y membranas mucosas;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A51;Sífilis precoz;A51.4;Otras sífilis secundarias;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A51;Sífilis precoz;A51.5;Sífilis precoz, latente;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A51;Sífilis precoz;A51.9;Sífilis precoz, sin otra especificación;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A52;Sífilis tardía;A52.0;Sífilis cardiovascular;"Daga (†): código de causa principal; debe usarse junto con un código asterisco (*)"
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A52;Sífilis tardía;A52.1;Neurosífilis sintomática;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A52;Sífilis tardía;A52.2;Neurosífilis asintomática;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A52;Sífilis tardía;A52.3;Neurosífilis no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A52;Sífilis tardía;A52.7;Otras sífilis tardías sintomáticas;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A52;Sífilis tardía;A52.8;Sífilis tardía, latente;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A52;Sífilis tardía;A52.9;Sífilis tardía, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A53;Otras sífilis y las no especificadas;A53.0;Sífilis latente, no especificada como precoz o tardía;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A53;Otras sífilis y las no especificadas;A53.9;Sífilis, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A54;Infección gonocócica;A54.0;Infección gonocócica del tracto genitourinario inferior sin;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A54;Infección gonocócica;A54.1;Infección gonocócica del tracto genitourinario inferior con;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A54;Infección gonocócica;A54.2;Pelviperitonitis gonocócica y otras infecciones;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A54;Infección gonocócica;A54.3;Infección gonocócica del ojo;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A54;Infección gonocócica;A54.4;Infección gonocócica del sistema osteomuscular;"Daga (†): código de causa principal; debe usarse junto con un código asterisco (*)"
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A54;Infección gonocócica;A54.5;Faringitis gonocócica;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A54;Infección gonocócica;A54.6;Infección gonocócica del ano y del recto;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A54;Infección gonocócica;A54.8;Otras infecciones gonocócicas;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A54;Infección gonocócica;A54.9;Infección gonocócica, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A55;Linfogranuloma (venéreo) por clamidias;A56.0;Infección del tracto genitourinario inferior debida a;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A55;Linfogranuloma (venéreo) por clamidias;A56.1;Infección del pelviperitoneo y otros órganos genitourinarios;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A55;Linfogranuloma (venéreo) por clamidias;A56.2;Infecciones del tracto genitourinario debidas a clamidias,;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A55;Linfogranuloma (venéreo) por clamidias;A56.3;Infección del ano y del recto debida a clamidias;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A55;Linfogranuloma (venéreo) por clamidias;A56.4;Infección de faringe debida a clamidias;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A55;Linfogranuloma (venéreo) por clamidias;A56.8;Infección de transmisión sexual de otros sitios debida a;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A59;Tricomoniasis;A59.0;Tricomoniasis urogenital;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A59;Tricomoniasis;A59.8;Tricomoniasis de otros sitios;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Infecciones con modo de transmisión predominantemente sexual;A59;Tricomoniasis;A59.9;Tricomoniasis, no especificada;
